code,buyback_date
002819.SZ,2022-03-29
000776.SZ,2022-03-31
600690.SH,2022-03-31
600094.SH,2022-04-06
000626.SZ,2022-04-07
600155.SH,2022-04-07
002291.SZ,2022-04-13
000581.SZ,2022-04-19
603690.SH,2022-04-20
002840.SZ,2022-04-23
002627.SZ,2022-04-25
600246.SH,2022-04-27
002585.SZ,2022-04-27
002389.SZ,2022-04-29
603880.SH,2022-04-29
000623.SZ,2022-04-30
002478.SZ,2022-04-30
000538.SZ,2022-04-30
002787.SZ,2022-05-05
000739.SZ,2022-05-06
600446.SH,2022-05-12
603337.SH,2022-05-13
603859.SH,2022-05-18
603666.SH,2022-05-18
600794.SH,2022-05-21
002271.SZ,2022-05-23
603993.SH,2022-05-25
002921.SZ,2022-05-25
002306.SZ,2022-05-26
002145.SZ,2022-05-27
002556.SZ,2022-05-28
002548.SZ,2022-05-31
000785.SZ,2022-06-02
603408.SH,2022-06-03
601231.SH,2022-06-07
003016.SZ,2022-06-07
603797.SH,2022-06-09
603267.SH,2022-06-10
601318.SH,2022-06-11
603658.SH,2022-06-13
000035.SZ,2022-06-17
002442.SZ,2022-06-25
603989.SH,2022-06-25
600586.SH,2022-06-30
603987.SH,2022-07-07
600104.SH,2022-07-08
600110.SH,2022-07-09
603324.SH,2022-07-09
603997.SH,2022-07-15
605377.SH,2022-07-19
000561.SZ,2022-07-30
601117.SH,2022-08-16
603610.SH,2022-08-20
000778.SZ,2022-08-23
600499.SH,2022-08-24
000338.SZ,2022-08-27
002157.SZ,2022-08-31
002466.SZ,2022-08-31
603456.SH,2022-09-01
003010.SZ,2022-09-01
600256.SH,2022-09-03
600763.SH,2022-09-08
002638.SZ,2022-09-10
000513.SZ,2022-09-15
603100.SH,2022-09-20
002352.SZ,2022-09-23
600649.SH,2022-09-24
002559.SZ,2022-09-30
000792.SZ,2022-09-30
600273.SH,2022-09-30
603816.SH,2022-10-14
600496.SH,2022-10-17
600790.SH,2022-10-17
601127.SH,2022-10-25
002005.SZ,2022-10-27
002050.SZ,2022-10-27
000703.SZ,2022-10-28
603833.SH,2022-10-28
002627.SZ,2022-10-28
603899.SH,2022-10-29
002984.SZ,2022-10-31
603666.SH,2022-11-03
000507.SZ,2022-11-12
002726.SZ,2022-11-15
000589.SZ,2022-11-17
002548.SZ,2022-11-24
002010.SZ,2022-11-26
002831.SZ,2022-12-03
601678.SH,2022-12-31
603166.SH,2023-01-04
002611.SZ,2023-01-07
600166.SH,2023-01-14
603713.SH,2023-01-18
603669.SH,2023-01-31
000676.SZ,2023-01-31
002388.SZ,2023-01-31
002045.SZ,2023-02-17
605598.SH,2023-03-09
600063.SH,2023-03-11
002560.SZ,2023-03-15
002881.SZ,2023-03-17
603102.SH,2023-03-25
600351.SH,2023-03-28
002708.SZ,2023-03-29
002076.SZ,2023-03-30
600273.SH,2023-03-31
002032.SZ,2023-03-31
601965.SH,2023-03-31
605228.SH,2023-04-07
600873.SH,2023-04-10
002819.SZ,2023-04-12
000893.SZ,2023-04-15
603220.SH,2023-04-15
600141.SH,2023-04-15
002413.SZ,2023-04-17
002442.SZ,2023-04-18
002123.SZ,2023-04-18
002168.SZ,2023-04-20
600327.SH,2023-04-20
000959.SZ,2023-04-21
002010.SZ,2023-04-25
603599.SH,2023-04-25
002139.SZ,2023-04-25
002609.SZ,2023-04-26
002810.SZ,2023-04-26
002758.SZ,2023-04-27
002513.SZ,2023-04-27
603515.SH,2023-04-27
002828.SZ,2023-04-28
002388.SZ,2023-04-28
002840.SZ,2023-04-28
002512.SZ,2023-04-28
600690.SH,2023-04-28
600198.SH,2023-04-28
603363.SH,2023-04-29
002925.SZ,2023-04-29
600588.SH,2023-04-29
603008.SH,2023-04-29
603181.SH,2023-04-29
002196.SZ,2023-04-29
603079.SH,2023-04-29
002669.SZ,2023-04-29
600588.SH,2023-04-29
600579.SH,2023-04-29
600588.SH,2023-04-29
600228.SH,2023-04-29
603505.SH,2023-05-06
601138.SH,2023-05-06
001203.SZ,2023-05-09
601686.SH,2023-05-09
002206.SZ,2023-05-10
603713.SH,2023-05-16
002083.SZ,2023-05-17
002293.SZ,2023-05-18
002891.SZ,2023-05-18
002787.SZ,2023-05-19
000403.SZ,2023-05-23
002422.SZ,2023-05-23
002595.SZ,2023-05-23
002735.SZ,2023-05-23
002645.SZ,2023-05-26
601636.SH,2023-05-26
603160.SH,2023-05-27
002785.SZ,2023-05-27
600963.SH,2023-05-29
600800.SH,2023-05-30
002520.SZ,2023-05-30
603806.SH,2023-06-01
605008.SH,2023-06-01
002108.SZ,2023-06-01
002272.SZ,2023-06-03
600276.SH,2023-06-03
002252.SZ,2023-06-03
002548.SZ,2023-06-06
600588.SH,2023-06-06
002962.SZ,2023-06-07
002353.SZ,2023-06-07
002601.SZ,2023-06-07
601966.SH,2023-06-08
603396.SH,2023-06-08
601615.SH,2023-06-08
002340.SZ,2023-06-08
000922.SZ,2023-06-08
600711.SH,2023-06-09
600422.SH,2023-06-09
000909.SZ,2023-06-10
002214.SZ,2023-06-10
600738.SH,2023-06-12
600382.SH,2023-06-14
603613.SH,2023-06-14
002559.SZ,2023-06-14
002559.SZ,2023-06-14
603041.SH,2023-06-16
002664.SZ,2023-06-17
002215.SZ,2023-06-17
002648.SZ,2023-06-19
000333.SZ,2023-06-21
002615.SZ,2023-06-21
605319.SH,2023-06-22
603659.SH,2023-06-22
600673.SH,2023-06-26
603212.SH,2023-06-27
600988.SH,2023-06-28
002556.SZ,2023-06-28
600233.SH,2023-06-28
603918.SH,2023-06-28
603259.SH,2023-06-28
600732.SH,2023-06-28
002389.SZ,2023-06-30
002592.SZ,2023-06-30
603337.SH,2023-06-30
002212.SZ,2023-07-01
600817.SH,2023-07-01
002555.SZ,2023-07-04
603332.SH,2023-07-05
002036.SZ,2023-07-05
002180.SZ,2023-07-06
002180.SZ,2023-07-06
601016.SH,2023-07-06
002291.SZ,2023-07-06
002906.SZ,2023-07-06
603836.SH,2023-07-07
002407.SZ,2023-07-07
600298.SH,2023-07-08
002869.SZ,2023-07-08
002527.SZ,2023-07-10
605183.SH,2023-07-11
601208.SH,2023-07-11
600104.SH,2023-07-12
002120.SZ,2023-07-12
002170.SZ,2023-07-13
002228.SZ,2023-07-13
600380.SH,2023-07-14
603279.SH,2023-07-15
603728.SH,2023-07-15
000933.SZ,2023-07-15
000488.SZ,2023-07-18
603517.SH,2023-07-18
000731.SZ,2023-07-18
600089.SH,2023-07-18
002821.SZ,2023-07-19
002821.SZ,2023-07-19
605286.SH,2023-07-19
002168.SZ,2023-07-19
603088.SH,2023-07-20
000701.SZ,2023-07-21
000701.SZ,2023-07-21
601500.SH,2023-07-21
002111.SZ,2023-07-22
002873.SZ,2023-07-22
603222.SH,2023-07-25
605266.SH,2023-07-26
000876.SZ,2023-07-26
600905.SH,2023-07-26
000597.SZ,2023-07-26
603933.SH,2023-07-27
601012.SH,2023-07-28
605168.SH,2023-07-29
600887.SH,2023-07-29
600433.SH,2023-07-29
600019.SH,2023-07-29
601369.SH,2023-07-29
600808.SH,2023-07-29
002585.SZ,2023-08-01
002860.SZ,2023-08-01
002015.SZ,2023-08-02
600549.SH,2023-08-02
600884.SH,2023-08-03
600619.SH,2023-08-03
600096.SH,2023-08-03
002078.SZ,2023-08-03
603330.SH,2023-08-05
605118.SH,2023-08-05
603283.SH,2023-08-07
600500.SH,2023-08-08
603309.SH,2023-08-09
002006.SZ,2023-08-09
002801.SZ,2023-08-10
002312.SZ,2023-08-10
605133.SH,2023-08-11
002296.SZ,2023-08-15
600566.SH,2023-08-15
603939.SH,2023-08-15
603351.SH,2023-08-15
000830.SZ,2023-08-15
002979.SZ,2023-08-15
603713.SH,2023-08-15
601619.SH,2023-08-15
002615.SZ,2023-08-15
600501.SH,2023-08-15
002969.SZ,2023-08-15
002134.SZ,2023-08-16
603138.SH,2023-08-16
600060.SH,2023-08-16
002920.SZ,2023-08-17
603501.SH,2023-08-17
000903.SZ,2023-08-18
002189.SZ,2023-08-18
002611.SZ,2023-08-19
002442.SZ,2023-08-19
600702.SH,2023-08-19
002953.SZ,2023-08-19
002324.SZ,2023-08-19
600415.SH,2023-08-19
603690.SH,2023-08-22
603877.SH,2023-08-22
605088.SH,2023-08-22
003021.SZ,2023-08-22
002410.SZ,2023-08-22
002493.SZ,2023-08-22
000026.SZ,2023-08-23
601226.SH,2023-08-23
603650.SH,2023-08-23
002249.SZ,2023-08-23
603109.SH,2023-08-24
600131.SH,2023-08-24
002690.SZ,2023-08-24
600967.SH,2023-08-24
600817.SH,2023-08-25
001206.SZ,2023-08-25
603013.SH,2023-08-25
002478.SZ,2023-08-25
603599.SH,2023-08-25
000635.SZ,2023-08-25
002649.SZ,2023-08-25
600479.SH,2023-08-25
600429.SH,2023-08-26
603236.SH,2023-08-26
603150.SH,2023-08-26
600326.SH,2023-08-26
002597.SZ,2023-08-26
600498.SH,2023-08-26
600673.SH,2023-08-26
603289.SH,2023-08-26
605018.SH,2023-08-26
002236.SZ,2023-08-26
603486.SH,2023-08-26
002543.SZ,2023-08-26
600188.SH,2023-08-26
600028.SH,2023-08-28
600882.SH,2023-08-29
603995.SH,2023-08-29
603958.SH,2023-08-29
603529.SH,2023-08-29
000803.SZ,2023-08-29
002825.SZ,2023-08-29
603392.SH,2023-08-29
000921.SZ,2023-08-29
002116.SZ,2023-08-29
600516.SH,2023-08-29
002810.SZ,2023-08-29
603915.SH,2023-08-29
603822.SH,2023-08-29
603212.SH,2023-08-30
000762.SZ,2023-08-30
601919.SH,2023-08-30
002432.SZ,2023-08-30
600278.SH,2023-08-30
600884.SH,2023-08-30
603777.SH,2023-08-30
002922.SZ,2023-08-30
002667.SZ,2023-08-30
600422.SH,2023-08-30
603355.SH,2023-08-30
002299.SZ,2023-08-30
600642.SH,2023-08-30
600057.SH,2023-08-30
605111.SH,2023-08-30
002549.SZ,2023-08-30
600098.SH,2023-08-31
603818.SH,2023-08-31
002032.SZ,2023-08-31
000625.SZ,2023-08-31
002940.SZ,2023-08-31
603776.SH,2023-08-31
002459.SZ,2023-08-31
600109.SH,2023-08-31
603665.SH,2023-08-31
603659.SH,2023-08-31
600406.SH,2023-08-31
000800.SZ,2023-08-31
600153.SH,2023-08-31
601021.SH,2023-08-31
605196.SH,2023-08-31
600366.SH,2023-08-31
002019.SZ,2023-08-31
600814.SH,2023-08-31
601778.SH,2023-08-31
603738.SH,2023-08-31
600588.SH,2023-08-31
002385.SZ,2023-08-31
000898.SZ,2023-08-31
002557.SZ,2023-08-31
001207.SZ,2023-08-31
600536.SH,2023-08-31
002517.SZ,2023-08-31
600031.SH,2023-08-31
000681.SZ,2023-09-01
603799.SH,2023-09-01
000661.SZ,2023-09-02
600079.SH,2023-09-02
603901.SH,2023-09-05
002738.SZ,2023-09-05
603486.SH,2023-09-05
002541.SZ,2023-09-06
600810.SH,2023-09-07
603237.SH,2023-09-07
000715.SZ,2023-09-07
002709.SZ,2023-09-08
002709.SZ,2023-09-08
002407.SZ,2023-09-08
601666.SH,2023-09-08
002526.SZ,2023-09-09
002139.SZ,2023-09-09
603283.SH,2023-09-12
002151.SZ,2023-09-12
600499.SH,2023-09-12
601388.SH,2023-09-12
600513.SH,2023-09-12
603383.SH,2023-09-12
601138.SH,2023-09-12
000959.SZ,2023-09-13
605080.SH,2023-09-13
603986.SH,2023-09-13
002821.SZ,2023-09-14
000723.SZ,2023-09-14
002821.SZ,2023-09-14
002865.SZ,2023-09-15
603012.SH,2023-09-16
605589.SH,2023-09-16
002900.SZ,2023-09-16
002986.SZ,2023-09-16
600570.SH,2023-09-18
002847.SZ,2023-09-19
603882.SH,2023-09-19
002838.SZ,2023-09-19
603998.SH,2023-09-20
002537.SZ,2023-09-20
603081.SH,2023-09-21
603261.SH,2023-09-22
603458.SH,2023-09-22
603109.SH,2023-09-23
603456.SH,2023-09-23
603306.SH,2023-09-26
002841.SZ,2023-09-26
603922.SH,2023-09-26
605108.SH,2023-09-26
002756.SZ,2023-09-27
601615.SH,2023-09-27
603317.SH,2023-09-27
603630.SH,2023-09-27
603551.SH,2023-09-27
601633.SH,2023-09-27
002206.SZ,2023-09-28
000759.SZ,2023-09-28
002643.SZ,2023-09-28
002765.SZ,2023-09-28
002393.SZ,2023-09-28
600196.SH,2023-09-28
600388.SH,2023-09-29
601686.SH,2023-09-29
002982.SZ,2023-09-29
603936.SH,2023-09-29
002812.SZ,2023-09-29
002329.SZ,2023-10-10
603716.SH,2023-10-10
600557.SH,2023-10-10
605337.SH,2023-10-10
002043.SZ,2023-10-10
000153.SZ,2023-10-10
003011.SZ,2023-10-11
603619.SH,2023-10-12
600765.SH,2023-10-12
002582.SZ,2023-10-12
600732.SH,2023-10-12
603217.SH,2023-10-13
603883.SH,2023-10-13
603278.SH,2023-10-13
002040.SZ,2023-10-14
603518.SH,2023-10-14
603617.SH,2023-10-17
600019.SH,2023-10-17
600600.SH,2023-10-18
601579.SH,2023-10-18
603077.SH,2023-10-19
002871.SZ,2023-10-19
603893.SH,2023-10-19
002135.SZ,2023-10-19
002601.SZ,2023-10-19
000893.SZ,2023-10-19
002871.SZ,2023-10-19
601899.SH,2023-10-20
600888.SH,2023-10-20
002683.SZ,2023-10-21
600366.SH,2023-10-21
000952.SZ,2023-10-21
600566.SH,2023-10-23
605365.SH,2023-10-24
605090.SH,2023-10-24
603605.SH,2023-10-24
600817.SH,2023-10-25
000581.SZ,2023-10-25
600050.SH,2023-10-25
600487.SH,2023-10-25
600060.SH,2023-10-25
600337.SH,2023-10-25
002129.SZ,2023-10-26
601600.SH,2023-10-26
600433.SH,2023-10-26
603650.SH,2023-10-26
603519.SH,2023-10-26
603713.SH,2023-10-26
002991.SZ,2023-10-26
603218.SH,2023-10-27
603195.SH,2023-10-27
603109.SH,2023-10-27
603191.SH,2023-10-27
002782.SZ,2023-10-27
000803.SZ,2023-10-27
603187.SH,2023-10-27
603237.SH,2023-10-27
600522.SH,2023-10-27
603345.SH,2023-10-27
002927.SZ,2023-10-27
002758.SZ,2023-10-27
603869.SH,2023-10-27
002130.SZ,2023-10-27
603583.SH,2023-10-27
600062.SH,2023-10-27
000598.SZ,2023-10-27
002241.SZ,2023-10-27
600882.SH,2023-10-28
600141.SH,2023-10-28
603667.SH,2023-10-28
605117.SH,2023-10-28
603277.SH,2023-10-28
000876.SZ,2023-10-28
603232.SH,2023-10-28
002281.SZ,2023-10-28
603960.SH,2023-10-28
603657.SH,2023-10-28
002925.SZ,2023-10-28
603958.SH,2023-10-28
603689.SH,2023-10-28
002734.SZ,2023-10-28
603051.SH,2023-10-28
600750.SH,2023-10-28
603639.SH,2023-10-28
603216.SH,2023-10-28
603408.SH,2023-10-28
002734.SZ,2023-10-28
603486.SH,2023-10-28
603308.SH,2023-10-28
600525.SH,2023-10-28
605133.SH,2023-10-28
002959.SZ,2023-10-28
600905.SH,2023-10-30
000723.SZ,2023-10-30
002705.SZ,2023-10-30
002826.SZ,2023-10-30
001322.SZ,2023-10-30
002956.SZ,2023-10-30
002472.SZ,2023-10-30
002022.SZ,2023-10-30
002765.SZ,2023-10-30
002139.SZ,2023-10-30
603588.SH,2023-10-30
002968.SZ,2023-10-30
002372.SZ,2023-10-30
002810.SZ,2023-10-31
002009.SZ,2023-10-31
002036.SZ,2023-10-31
002609.SZ,2023-10-31
002459.SZ,2023-10-31
600884.SH,2023-10-31
000513.SZ,2023-10-31
603203.SH,2023-10-31
002938.SZ,2023-10-31
603757.SH,2023-10-31
603363.SH,2023-10-31
002036.SZ,2023-10-31
002388.SZ,2023-10-31
002667.SZ,2023-10-31
000651.SZ,2023-10-31
600958.SH,2023-10-31
002046.SZ,2023-10-31
600329.SH,2023-10-31
002605.SZ,2023-10-31
603027.SH,2023-10-31
603127.SH,2023-10-31
003020.SZ,2023-10-31
603288.SH,2023-10-31
000725.SZ,2023-10-31
600875.SH,2023-10-31
601611.SH,2023-10-31
002311.SZ,2023-11-01
002998.SZ,2023-11-02
003000.SZ,2023-11-02
002698.SZ,2023-11-02
002733.SZ,2023-11-03
002511.SZ,2023-11-03
605088.SH,2023-11-03
603579.SH,2023-11-03
603439.SH,2023-11-04
603813.SH,2023-11-04
603189.SH,2023-11-04
601969.SH,2023-11-04
600585.SH,2023-11-04
600521.SH,2023-11-07
600732.SH,2023-11-07
603713.SH,2023-11-07
603176.SH,2023-11-07
002825.SZ,2023-11-07
603757.SH,2023-11-07
603530.SH,2023-11-07
603589.SH,2023-11-08
001266.SZ,2023-11-09
002533.SZ,2023-11-09
002951.SZ,2023-11-10
002009.SZ,2023-11-10
002396.SZ,2023-11-11
605339.SH,2023-11-11
002454.SZ,2023-11-11
003016.SZ,2023-11-11
002271.SZ,2023-11-14
000597.SZ,2023-11-14
603566.SH,2023-11-14
600325.SH,2023-11-14
002513.SZ,2023-11-14
002573.SZ,2023-11-15
605056.SH,2023-11-16
600167.SH,2023-11-17
000039.SZ,2023-11-17
601801.SH,2023-11-17
002978.SZ,2023-11-18
601238.SH,2023-11-18
600698.SH,2023-11-18
002120.SZ,2023-11-20
603596.SH,2023-11-20
000800.SZ,2023-11-21
600353.SH,2023-11-21
600298.SH,2023-11-21
600821.SH,2023-11-22
000963.SZ,2023-11-22
002387.SZ,2023-11-23
002467.SZ,2023-11-23
002727.SZ,2023-11-23
601678.SH,2023-11-23
603081.SH,2023-11-23
002885.SZ,2023-11-23
002279.SZ,2023-11-24
002410.SZ,2023-11-25
002446.SZ,2023-11-25
002115.SZ,2023-11-25
603813.SH,2023-11-25
600750.SH,2023-11-25
601016.SH,2023-11-28
601777.SH,2023-11-28
002606.SZ,2023-11-28
600732.SH,2023-11-28
600052.SH,2023-11-28
000661.SZ,2023-11-28
601827.SH,2023-11-28
603112.SH,2023-11-28
002902.SZ,2023-11-28
600105.SH,2023-11-28
002946.SZ,2023-11-29
000100.SZ,2023-11-29
002857.SZ,2023-11-29
002969.SZ,2023-11-29
002230.SZ,2023-11-30
605020.SH,2023-11-30
002671.SZ,2023-11-30
600143.SH,2023-11-30
603538.SH,2023-11-30
605268.SH,2023-12-01
001314.SZ,2023-12-01
603010.SH,2023-12-01
605399.SH,2023-12-01
605399.SH,2023-12-01
002111.SZ,2023-12-01
002518.SZ,2023-12-01
600654.SH,2023-12-02
002139.SZ,2023-12-02
002140.SZ,2023-12-05
000066.SZ,2023-12-05
603901.SH,2023-12-05
002714.SZ,2023-12-06
605111.SH,2023-12-06
600400.SH,2023-12-07
000421.SZ,2023-12-07
002180.SZ,2023-12-07
603019.SH,2023-12-07
000650.SZ,2023-12-08
601668.SH,2023-12-08
002166.SZ,2023-12-08
603233.SH,2023-12-08
601567.SH,2023-12-08
600732.SH,2023-12-09
605338.SH,2023-12-09
002385.SZ,2023-12-09
002876.SZ,2023-12-09
002396.SZ,2023-12-09
600703.SH,2023-12-09
002962.SZ,2023-12-11
001330.SZ,2023-12-11
002256.SZ,2023-12-11
002254.SZ,2023-12-11
000779.SZ,2023-12-11
603223.SH,2023-12-12
603260.SH,2023-12-12
002340.SZ,2023-12-12
600048.SH,2023-12-12
001301.SZ,2023-12-12
603317.SH,2023-12-13
002810.SZ,2023-12-13
603867.SH,2023-12-13
600853.SH,2023-12-13
605168.SH,2023-12-13
002240.SZ,2023-12-13
002835.SZ,2023-12-13
603032.SH,2023-12-13
001267.SZ,2023-12-13
002287.SZ,2023-12-13
002372.SZ,2023-12-14
002568.SZ,2023-12-14
002073.SZ,2023-12-14
600422.SH,2023-12-14
600219.SH,2023-12-14
603605.SH,2023-12-14
002956.SZ,2023-12-14
002560.SZ,2023-12-16
603077.SH,2023-12-16
600702.SH,2023-12-16
605303.SH,2023-12-19
002301.SZ,2023-12-19
601567.SH,2023-12-19
603876.SH,2023-12-19
603882.SH,2023-12-19
600696.SH,2023-12-19
002261.SZ,2023-12-21
000411.SZ,2023-12-21
000582.SZ,2023-12-21
603267.SH,2023-12-21
002615.SZ,2023-12-21
605060.SH,2023-12-22
002388.SZ,2023-12-22
603187.SH,2023-12-23
600267.SH,2023-12-23
000778.SZ,2023-12-23
600169.SH,2023-12-23
002402.SZ,2023-12-23
002920.SZ,2023-12-23
002821.SZ,2023-12-23
002873.SZ,2023-12-23
002293.SZ,2023-12-23
002922.SZ,2023-12-23
600803.SH,2023-12-23
002821.SZ,2023-12-23
